strain	cluster	depth	ORF8_misStops	ORF8_deletions	ORF8_koType
Georgia/Tb-1523/2020	1	2	27983-27985:TAT>TGA	None	earlyStop
Uganda/UG047/2020	2	2	27914-27916:GGA>TGA	None	earlyStop
USA/WA-UW-6442/2020	3	2	27944-27946:CAA>TAA	None	earlyStop
Guatemala/GUA-LNS-47332/2020	4	4	27944-27946:CAA>TAA	None	earlyStop
Luxembourg/LNS1689160/2020	4	4	27944-27946:CAA>TAA	None	earlyStop
Luxembourg/LNS0042548/2020	4	4	27944-27946:CAA>TAA	None	earlyStop
Portugal/PT1582/2020	4	4	27944-27946:CAA>TAA	None	earlyStop
Tunisia/11-MHT_8/2020	4	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-67800/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Kuwait/SKS00105-JAH/2020	5	21	27971-27973:CAA>TAA	None	earlyStop
Egypt/ARMY-ECRRM0032/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-41594/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21050467979/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Guadeloupe/IPP02200/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Japan/PG-172322/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Japan/PG-152289/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Luxembourg/LNS3017804/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Spain/RI-IBV-99024277/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
USA/IA-SHL-1689477/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Japan/PG-62150/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21051089295/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Jamaica/63374/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Georgia/Tb-SNGS070/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Andorra/AND-235_2118213857_GC/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Benin/NMIMR-348730/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Japan/PG-53757/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Jamaica/34740/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Moldova/un-ChVir25009/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Bulgaria/21BG-EU_003309_Pl29/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Norway/10637/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Congo/FCRM-55-6959/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Guadeloupe/IPP11462/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Poland/Gyncentrum-0301/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Austria/KILM1152/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Moldova/un-ChVir25841/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Tunisia/Tunis/D-3527/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Kazakhstan/KAR-NRL-9039S/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Pakistan/UHS-PAK-S82/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Guadeloupe/IPP12983/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-41593/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
England/ALDP-14B7EE9/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
Taiwan/CGMH-CGU-71/2021	5	21	27971-27973:CAA>TAA	None	earlyStop
