strain	cluster	depth	ORF7b_misStops	ORF7b_deletions	ORF7b_koType
USA/WA-UW-1839/2020	1	2	27794-27796:TTA>TAG	None	earlyStop
CentralAfricanRepublic/24216/2021	2	2	27848-27850:CTT>TGA	None	earlyStop
EquatorialGuinea/31361/2020	3	2	27770-27772:TTA>TAA	None	earlyStop
USA/WA-PHL-029916/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029302/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-64038/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S3431/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S4018/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S3596/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S4286/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029384/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029294/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029280/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029820/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029322/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029227/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S3573/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S3868/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029207/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029406/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029376/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029823/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029843/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-49913/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-61929/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-60652/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-61217/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-S4298/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-PHL-029282/2020	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-60054/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
USA/WA-UW-60040/2021	4	7	27851-27853:GAA>TAA	None	earlyStop
