gene	missense	nonsense	synonymous	undoStop	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	625	0	299	0	21.00825575267872	19.94674697280192	0.0	0.9494718270582055	0.0	18.689618830142273	18.414836805290733	0.0	0.8303364951984626	0.0	23.398910943263623	21.510571935469592	0.0	1.0921182251338768	0.0	95
M	1485	0	1891	0	47.484978575259895	14.712587376421718	0.0	0.3098366645170418	0.0	45.35054008827043	13.959619941668823	0.0	0.2896431716080029	0.0	49.644528103272776	15.475462277421363	0.0	0.3314463546225026	0.0	95
N	4905	1	3386	0	48.13572853837416	23.770091603293633	0.0381745830572039	0.49381389510587625	0.0007930612918171756	46.54316947472638	23.12071499272455	0.0	0.47311202973366545	0.0	49.756364407651965	24.43400649618889	0.11452374917161169	0.5158794129203678	0.002439708238122008	95
ORF1a	27720	4	22155	0	39.38643209858371	14.103652945326072	0.0225469331323346	0.35808404554199824	0.0005724543181748459	38.89399058690203	13.94796326995559	0.00563673328308365	0.3518617810782545	0.0001419854823030247	39.8646514727439	14.26037292001886	0.0450938662646692	0.36446712034830014	0.001156240103950433	95
ORF1b	10817	0	11623	0	33.463550296409274	9.047454740708881	0.0	0.27036744937609614	0.0	32.870459755149675	8.88184541846978	0.0	0.26337029651257776	0.0	34.053833734378934	9.21557329510312	0.0	0.27746056712897305	0.0	95
ORF3a	3479	28	1678	0	39.283440086901265	28.62885085405565	2.606736552032323	0.7287765733022373	0.06635713537983955	37.433981346218786	27.690739615952072	1.6757592120207792	0.6886992386549489	0.04258202849096358	41.17972056785419	29.575191138107503	3.630811626045021	0.7726321056349482	0.09248112389316508	95
ORF6	539	28	420	0	59.976352181140015	25.2308930987188	8.888211691807609	0.4206806879904382	0.14819526977838723	54.40711947860558	23.030796668960388	5.713850373304891	0.3705900688189178	0.09436962934001074	65.68838572220096	27.43098952847721	12.380009142160597	0.47848229713936047	0.20952227130248813	95
ORF7a	1746	144	619	2	33.613189837413145	33.56588506471917	27.049009423950032	0.9985926723133749	0.8047141480706227	31.006674308825374	31.912582593031974	22.728681529846902	0.9108768152251646	0.6669591350480334	36.274007772846495	35.27686087844197	31.557177661275038	1.0959117898163824	0.958791675611051	95
ORF7b	427	26	225	0	29.244440631835896	29.833143994175867	15.06827085796416	1.0201304367469795	0.5152524901283506	25.47515717262149	27.03847008371443	9.272782066439483	0.8718059994428502	0.3184939842826343	33.27367467444439	32.83741844792191	20.863759649488838	1.2009448847487434	0.7394181946662163	95
ORF8	1287	139	459	15	29.01698789757696	25.31330874251275	24.546811122001174	0.8723616948755221	0.8459462163559346	26.361838678190832	23.877511121531064	20.485108562245586	0.7878788106312149	0.6953368463760456	31.7353549555199	26.76877482405583	28.608513681756765	0.9748998308974366	1.0122164677970125	95
ORF9b	1431	16	432	0	19.619170109104374	30.33548373967199	3.8853435129333374	1.5462164592576042	0.19803811737838617	17.802580284187304	28.745573690422933	2.1855057260250024	1.3899456228860476	0.10553347044506106	21.481174679644372	31.904194988264393	5.828015269400006	1.7232568577525442	0.30519572883655405	95
S	9483	2	6038	0	36.429536208804464	16.939550989897782	0.03851936194988092	0.4649949670730024	0.001057366246144286	35.53056289063423	16.57871693949608	0.0	0.44951790042387096	0.0	37.346609660897585	17.29859873311928	0.0962984048747023	0.48080727369731474	0.002672629518678499	95
S1	5775	2	3505	0	40.74157808812131	19.386607080572645	0.08374739440919157	0.4758433028450864	0.002055575614377321	39.41645971378584	18.842774985844894	0.0	0.45543372337877785	0.0	42.10185859475823	19.927082187061337	0.20936848602297894	0.49692694101596796	0.005210292542950906	95
