gene	missense	nonsense	synonymous	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	19	0	17	1.194449323730897	0.6063811079731785	0.0	0.5076658305428392	0.0	0.7026172492534689	0.3510627467213138	0.0	0.26199183040514384	0.0	1.826804848059019	0.8936142643815261	0.0	0.9910414299592267	0.0	95
M	51	0	51	1.280663092193683	0.5052807785841802	0.0	0.39454621724021954	0.0	0.9542195588894109	0.3665762511296994	0.0	0.2652983184891131	0.0	1.6322176665213608	0.6538927722854098	0.0	0.5870077866256925	0.0	95
N	154	0	87	1.236801058133063	0.7462984927435717	0.0	0.6034102961312959	0.0	0.9809111840365673	0.6299922341341839	0.0	0.4682522456420611	0.0	1.5069070363460308	0.8626047513529596	0.0	0.795404481263981	0.0	95
ORF1a	924	0	621	1.103993425105867	0.4701217648442024	0.0	0.42583746800767436	0.0	1.0186605999769112	0.44213832646061896	0.0	0.38376252013970164	0.0	1.192881784615196	0.4981052032277859	0.0	0.47375695888686864	0.0	95
ORF1b	525	0	297	0.8550868483208771	0.43911562714913216	0.0	0.5135333656591933	0.0	0.7658353591021997	0.40314996625882227	0.0	0.4455779206064907	0.0	0.9501684751417412	0.47508128803944205	0.0	0.5912022316877371	0.0	95
ORF3a	106	0	47	1.100310896355399	0.872278870517361	0.0	0.7927567321260227	0.0	0.7959695845975227	0.7159269975000981	0.0	0.5687995558290143	0.0	1.4280630782484964	1.0368597894829008	0.0	1.1348794224618954	0.0	95
ORF6	15	0	8	1.1424067082121907	0.7021584350292801	0.0	0.6146308753107051	0.0	0.42840251557957154	0.37448449868228273	0.0	0.2622425067992342	0.0	1.9992117393713338	1.0766429337115628	0.0	1.8029172342447353	0.0	95
ORF7a	60	0	18	0.9774433232204146	1.153466840711999	0.0	1.180085651321075	0.0	0.5430240684557859	0.8843245778791993	0.0	0.7363734464243508	0.0	1.466164984830622	1.4610579982351988	0.0	2.15641878689019	0.0	95
ORF7b	13	0	7	0.9098270418793389	0.9082690208999679	0.0	0.9982875635613635	0.0	0.2599505833940968	0.4890679343307519	0.0	0.41349189023251737	0.0	1.6896787920616296	1.4672038029922558	0.0	3.2252367438136362	0.0	95
ORF8	37	0	20	1.2643567711362511	0.7277330407715398	0.0	0.5755757056748636	0.0	0.7586140626817506	0.5113799745962172	0.0	0.34026759412189905	0.0	1.833317318147564	0.9637545675082554	0.0	1.0530283180745947	0.0	95
ORF9b	42	1	8	0.36331796498341434	0.8903496275794714	0.24283396955833358	2.4506072184460144	0.6683786461520533	0.13624423686878037	0.6359640196996225	0.0	1.263058062168254	0.0	0.6358064387209751	1.1659340361159745	0.7285019086750008	6.690546691630388	3.208217501529856	95
S	337	0	155	0.9351735860160139	0.6019855197295743	0.0	0.6437152724705656	0.0	0.7903725146328892	0.5412510756025549	0.0	0.5349379746835939	0.0	1.0860080353734354	0.6645062710368	0.0	0.7828131270304277	0.0	95
S1	182	0	85	0.9880268580571502	0.610971859508956	0.0	0.6183757602605736	0.0	0.7904214864457202	0.5270471535324511	0.0	0.4793515508760592	0.0	1.1972560750574879	0.6982535537245212	0.0	0.8060811258600072	0.0	95
