gene	missense	nonsense	synonymous	undoStop	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	1895	0	1261	0	88.60003513086242	60.47853682153543	0.0	0.6826017250693921	0.0	83.82223783593884	57.861523618703814	0.0	0.6355765962354124	0.0	93.51835587563671	63.25512400014946	0.0	0.7339040432796387	0.0	95
M	3898	4	8915	0	223.86493072366048	38.61930342982617	0.48754683496783396	0.1725116270109227	0.002177861594452519	219.31983229842407	37.410592547722835	0.12188670874195849	0.16600629836759245	0.0005358683631451574	228.48536227196712	39.85773671066975	0.9750936699356679	0.17912300222928157	0.004401154059854944	95
N	19943	13	15980	0	227.1733437812224	96.64565481029254	0.4962695797436507	0.4254269149789265	0.0021845414232295646	223.64774996033734	95.31297893039331	0.22904749834322338	0.416738088316839	0.0010214073824172506	230.71315370622392	97.98802287840923	0.763491661144078	0.43439409040152877	0.0033780030915324675	95
ORF1a	119240	28	103300	0	183.64335074627385	60.66809441560898	0.1578285319263422	0.33035824149946763	0.0008594296024602707	182.5518016914993	60.33229315500598	0.1014611990955057	0.3276128243792946	0.0005521586557488185	184.75978854171103	60.99473746001372	0.21983259804026234	0.3331107759902524	0.0011989199419248405	95
ORF1b	52182	12	53549	0	154.1718708442244	43.6455841064686	0.12642335578787695	0.28309693504704364	0.0008200157077656233	152.87052654981014	43.27503324795861	0.06321167789393847	0.2796694555743915	0.0004076774636111108	155.47609421893603	44.01527764399225	0.20017031333080515	0.28654078676924283	0.0013049470326671887	95
ORF3a	15809	78	7811	0	182.8623066262132	130.09298739631095	7.261623252090042	0.7114259346089983	0.03971088074992647	178.8590478330904	128.0604130470865	5.678961774070418	0.6926202058306119	0.031151261641837704	187.00603064014737	132.12556174553535	8.937382464110822	0.7308175087683687	0.048822413135120334	95
ORF6	2342	110	2028	0	289.60010053179036	109.63033698923827	34.91797450352989	0.37855766205855923	0.12057307452383577	277.17642757998277	105.0429018803803	28.569251866524453	0.35642813955671704	0.09805374809173657	302.309375160651	114.3113932227668	41.901569404235865	0.40152206093942455	0.14497483677926776	95
ORF7a	9167	524	3678	5	199.72425237803805	176.23050881344824	98.42833984826262	0.8823690999722915	0.49282117057049973	193.09935874287746	172.30824094384383	89.97552440327824	0.8485348985291733	0.44744768855687156	206.2418987596786	180.09510334101708	107.06899563646888	0.9176959417768583	0.5386749782826669	95
ORF7b	1939	150	644	0	83.70408785289919	135.47181780961827	86.93233187287015	1.6184611920948857	1.0385673400520683	77.33529855974382	129.39165538317062	73.02315877321092	1.4826183676632452	0.8613041044933998	90.2028524377516	141.48036671711037	100.84150497252938	1.7693349142990995	1.2302967452672946	95
ORF8	9212	801	2242	5	141.73439404437374	181.18585869155203	141.4532065375751	1.278347855601139	0.9980160954671976	135.9815707357038	177.3701773426418	131.5638437833876	1.2211047959064016	0.9187859479225822	147.6136530301573	185.08070559422185	151.165973528295	1.3390317954739255	1.0789308639734367	95
ORF9b	6360	116	2009	1	91.23822395645992	134.82437217631997	28.168740468766696	1.4777180695742163	0.3087383691533626	87.2871410872653	131.4749616725686	23.312061077600024	1.4075040761859856	0.25246821567039374	95.23585693991804	138.19498148072796	33.268253829491705	1.553438117571988	0.3677585040310056	95
S	42092	12	27671	0	166.9496019267685	75.18924182924997	0.2311161716992855	0.4503708961356571	0.0013843469468149034	164.97065395119915	74.4532832710049	0.11555808584964275	0.44362555433629947	0.0006873026684611991	168.89853384691577	75.91809981645372	0.36593393852386874	0.45752892204780904	0.0022049769946911463	95
S1	24962	8	15833	0	184.04034404257482	83.79714042342067	0.3349895776367663	0.4553194075970404	0.0018201964323608945	181.1343826953479	82.71619021044329	0.12562109161378737	0.4464899429243452	0.0006816695340348661	186.8536052228252	84.86466268344181	0.586231760864341	0.4647033666619315	0.0031952424911690343	95
