strain	cluster	depth	ORF7b_misStops	ORF7b_deletions	ORF7b_koType
USA/OR-TRACE-LINN-112421-1326/2021	1	2	27794-27796:TTA>TAG	None	earlyStop
USA/HI-TAMC_1134/2022	2	2	27848-27850:CTT>TGA	None	earlyStop
SouthAfrica/NICD-N22102/2021	3	3	27761-27763:GAA>TAA	None	earlyStop
Norway/OUS-18109/2021	3	3	27761-27763:GAA>TAA	None	earlyStop
Norway/36375/2021	3	3	27761-27763:GAA>TAA	None	earlyStop
Italy/CAM-TIGEM-IZSM-COLLI-36266/2022	4	2	27761-27763:GAA>TAA	None	earlyStop
USA/WA-CDC-UW23030542662/2023	5	2	27848-27850:CTT>TGA	None	earlyStop
USA/NC-CORVASEQ-UNC-8097/2022	6	2	27848-27850:CTT>TGA	None	earlyStop
USA/TX-CDC-QDX44334841/2022	7	2	27788-27790:TGC>TAG	None	earlyStop
USA/PA-CDC-STM-RBEJA32Q6/2022	8	3	27794-27796:TTA>TAG	None	earlyStop
USA/OH-CDC-QDX42605534/2022	8	3	27794-27796:TTA>TAG	None	earlyStop
USA/DC-CDC-LC0929674/2022	9	2	27818-27820:TTA>TAA	None	earlyStop
USA/VT-VIGR-026862/2022	10	2	27848-27850:CTT>TGA	None	earlyStop
USA/IL-CDC-QDX40817379/2022	11	2	27848-27850:CTT>TGA	None	earlyStop
Mongolia/UB-99054/2022	12	2	27815-27817:GTT>TAA	None	earlyStop
Guam/GU-H2213787/2022	13	3	27848-27850:CTT>TGA	None	earlyStop
Guam/GU-H2212785/2022	13	3	27848-27850:CTT>TGA	None	earlyStop
SouthAfrica/NICD-N49684/2022	14	2	27842-27844:TTC>TGA	None	earlyStop
USA/DC-CDC-QDX43070377/2022	15	2	27842-27844:TTC>TGA	None	earlyStop
USA/GA-CDC-STM-8FBEBARXN/2022	16	2	27818-27820:TTA>TAA	None	earlyStop
USA/NJ-CDC-LC0623317/2022	17	2	27848-27850:CTT>TGA	None	earlyStop
Australia/QLD0x012A91/2022	18	2	27794-27796:TTA>TAG	None	earlyStop
USA/KY-CDC-QDX48415467/2023	19	2	27794-27796:TTA>TAG	None	earlyStop
USA/OK-ASC-210886352/2023	20	2	27848-27850:CTT>TGA	None	earlyStop
USA/DC-CDC-LC1008861/2023	21	2	27848-27850:CTT>TGA	None	earlyStop
USA/DE-DHSS-B1261656/2023	22	2	27770-27772:TTA>TAA	None	earlyStop
USA/AK-PHL16588/2021	23	2	None	27854:28081	bigDeletion
USA/WA-CDC-UW22012533707/2022	24	2	None	27842:28084	bigDeletion
USA/WA-CDC-UW22010537474/2022	25	2	None	27806:28084	bigDeletion
USA/WA-CDC-UW22013013406/2022	25	2	None	27806:28084	bigDeletion
USA/WA-CDC-UW22010834166/2022	26	2	None	27866:27936	bigDeletion
USA/AK-PHL18911/2022	27	2	None	27863:27951	bigDeletion
USA/AK-PHL16753/2022	28	3	None	27854:28022	bigDeletion
USA/AK-PHL16534/2021	28	3	None	27854:28022	bigDeletion
USA/WA-CDC-UW21122976724/2021	29	2	None	27863:28042	bigDeletion
Ghana/NMIMR-NCOV-21-61113/2021	30	2	None	27872:27975	bigDeletion
DRC/RDC-575/2022	30	2	None	27872:27975	bigDeletion
USA/WA-PHL-007603/2021	30	2	None	27872:27975	bigDeletion
USA/WA-USAFSAM-S11443/2022	31	2	None	27884:28674	bigDeletion
USA/WA-USAFSAM-S12435/2022	31	2	None	27884:28674	bigDeletion
