strain	cluster	depth	ORF8_misStops	ORF8_deletions	ORF8_koType
Bangladesh/icddrb-TND-04-0719/2022	1	2	28052-28054:TCA>TGA	None	earlyStop
USA/WA-PHL-016695/2022	2	2	27944-27946:CAA>TAA	None	earlyStop
USA/CA-CDPH-7000010686/2022	3	2	27971-27973:CAA>TAA	None	earlyStop
USA/WA-S20672/2022	4	2	28220-28222:GAG>TAG	None	earlyStop
USA/WA-CDC-LC0548015/2022	5	3	28040-28042:GGA>TGA	None	earlyStop
USA/WA-CDC-UW22030119727/2022	6	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22032137398/2022	6	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22030695366/2022	6	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22030454933/2022	6	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-FG-277666/2022	6	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-QDX34789768/2022	7	3	27947-27949:GAA>TAA	None	earlyStop
USA/WA-PHL-016373/2022	7	3	27947-27949:GAA>TAA	None	earlyStop
USA/WA-PHL-013177/2022	8	3	28052-28054:TCA>TAA	None	earlyStop
USA/WA-PHL-010971/2022	9	2	28025-28027:TGG>TAG	None	earlyStop
USA/OK-CDC-ASC210852560/2022	10	3	28067-28069:GAA>TAA	None	earlyStop
USA/WA-S19189/2022	11	2	27971-27973:CAA>TAA	None	earlyStop
USA/ID-IBL-803214/2022	12	2	28187-28189:GTA>TAG	None	earlyStop
USA/WA-PHL-014987/2022	13	2	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-21122162455/2021	14	2	28208-28210:GAA>TAA	None	earlyStop
USA/WA-S18518/2022	15	2	28025-28027:TGG>TAG	None	earlyStop
USA/MS-UMMC-M491G7-532571/2022	16	2	27971-27973:CAA>TAA	None	earlyStop
USA/WA-CDC-LC0539050/2022	17	2	27947-27949:GAA>TAA	None	earlyStop
USA/WA-S18728/2022	18	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW21121498803/2021	18	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22121534251/2022	19	2	27914-27916:GGA>TGA	None	earlyStop
USA/WA-UW-22092232573/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22071831948/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22072695278/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22082699902/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22082699625/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22082704294/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22082641049/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22091967515/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-LC0887623/2022	20	7	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22081703958/2022	21	3	27914-27916:GGA>TGA	None	earlyStop
USA/WA-UW-22081411111/2022	21	3	27914-27916:GGA>TGA	None	earlyStop
USA/WA-CDC-LC0848615/2022	22	5	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22092062567/2022	22	5	27944-27946:CAA>TAA	None	earlyStop
USA/ID-USAFSAM-S19818/2022	22	5	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22090220890/2022	22	5	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22081577562/2022	23	2	28151-28153:ACA>TAA	None	earlyStop
USA/WA-UW-22080275163/2022	24	2	28160-28162:TGC>TGA	None	earlyStop
USA/WA-UW-22072826403/2022	25	2	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-22100669471/2022	26	3	28052-28054:TCA>TAA	None	earlyStop
USA/WA-CDC-UW22100287047/2022	26	3	28052-28054:TCA>TAA	None	earlyStop
USA/ND-USAFSAM-S19192/2022	27	4	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-22071798712/2022	27	4	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-22071701422/2022	27	4	27971-27973:CAA>TAA	None	earlyStop
USA/WA-PHL-025176/2022	28	3	28091-28093:TCT>TAA	None	earlyStop
USA/WA-CDC-QDX39258763/2022	29	2	27959-27961:CAG>TAG	None	earlyStop
USA/WA-CDC-UW22080826420/2022	30	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-LC0739196/2022	31	3	27947-27949:GAA>TAA	None	earlyStop
USA/WA-UW-22100741579/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22092665546/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22081937573/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22082350523/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-LC0900571/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-LC0888561/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22090799230/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-UW22081637811/2022	32	4	27944-27946:CAA>TAA	None	earlyStop
USA/WA-CDC-LC0900671/2022	33	3	28082-28084:GAG>TAG	None	earlyStop
USA/WA-PHL-029021/2022	33	3	28082-28084:GAG>TAG	None	earlyStop
USA/WA-CDC-LC0807606/2022	34	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22081024665/2022	34	3	27944-27946:CAA>TAA	None	earlyStop
USA/WA-UW-22071424009/2022	35	2	28067-28069:GAA>TAA	None	earlyStop
USA/WA-PHL-027749/2022	36	4	28205-28207:TAT>TAG	None	earlyStop
USA/WA-S22303/2022	36	4	28205-28207:TAT>TAG	None	earlyStop
