strain	cluster	depth	ORF1b_misStops	ORF1b_deletions	ORF1b_koType
USA/ID-IBL-778904/2021	1	2	21138-21140:CTA>TAG	None	earlyStop
India/GA-NCCS-577882263/2021	2	2	17469-17471:CTA>TAA	None	earlyStop
USA/ID-IBL-779515/2021	3	3	18363-18365:CTA>TAG	None	earlyStop
USA/ID-IBL-778835/2021	4	3	21138-21140:CTA>TAG	None	earlyStop
USA/OR-TRACE-BENT-111821-1427/2021	5	2	15663-15665:GTG>TGA	None	earlyStop
USA/OR-TRACE-LINN-112421-1326/2021	6	2	15663-15665:GTG>TGA	None	earlyStop
USA/ID-IBL-803214/2022	7	2	21138-21140:CTA>TAG	None	earlyStop
USA/ID-IBL-790061/2022	8	2	21138-21140:CTA>TAG	None	earlyStop
USA/ID-IBL-857506/2022	9	2	21138-21140:CTA>TAG	None	earlyStop
Coted-Ivoire/IPCI-DVE-E842753/2022	10	2	16413-16415:GTG>TGA	None	earlyStop
Mozambique/INS-PMB0594670/2022	11	2	14604-14606:CTA>TAG	None	earlyStop
Kazakhstan/MAN-NRL-S2617/2022	12	2	13716-13718:TGT>TGA	None	earlyStop
USA/NY-GBW-H20-288-9093/2023	13	2	20130-20132:GCC>TAA	None	earlyStop
USA/WA-CDC-UW22012511194/2022	14	3	None	19292:19551	bigDeletion
USA/WA-CDC-UW22012520181/2022	14	3	None	19292:19551	bigDeletion
USA/WA-CDC-UW22011071393/2022	15	2	None	19292:19551	bigDeletion
USA/WA-CDC-UW22010274403/2022	16	2	None	19315:19551	bigDeletion
Burundi/472-23-12-021-BI/2021	16	2	None	19315:19551	bigDeletion
USA/WA-CDC-UW22011238532/2022	17	2	None	19342:19406	bigDeletion
USA/WA-CDC-UW22010792142/2022	18	2	None	19487:19522	bigDeletion
USA/WA-UW-22010981654/2022	18	2	None	19487:19522	bigDeletion
USA/WA-CDC-UW22011012758/2022	19	2	None	19415:19493	bigDeletion
USA/WA-CDC-UW22010888005/2022	20	2	None	19465:19501	bigDeletion
USA/WA-CDC-UW22020262443/2022	20	2	None	19465:19501	bigDeletion
USA/WA-CDC-UW22011029528/2022	20	2	None	19465:19501	bigDeletion
USA/WA-UW-22020419607/2022	21	2	None	19434:19551	bigDeletion
USA/WA-Curative-129222/2021	22	2	None	20611:20679	bigDeletion
USA/WA-Curative-102157/2021	23	2	None	20460:20679	bigDeletion
Mali/401693/2022	24	2	None	19297:19551	bigDeletion
USA/WA-Curative-287447/2022	25	2	None	16034:16079	bigDeletion
USA/NY-NYULH4445/2021	26	2	None	20630:20679	bigDeletion
USA/WA-Curative-123101/2022	27	2	None	16034:16079	bigDeletion
USA/WA-UW-21121819982/2021	28	2	None	19372:19503	bigDeletion
USA/WA-PHL-009004/2021	29	2	None	19275:19570	bigDeletion
SouthAfrica/NHLS-UCT-GP-T107/2022	30	2	None	18012:18252	bigDeletion
USA/WA-Curative-249021/2022	31	2	None	16034:16079	bigDeletion
USA/WA-UW-22021052550/2022	32	2	None	19092:19161	bigDeletion
USA/RI-RISHL-E03779/2022	33	2	None	19290:19558	bigDeletion
USA/GA-CDC-MMB14332107/2022	34	2	None	19008:19049	bigDeletion
Finland/THL-202208856/2022	35	2	None	16258:16415	bigDeletion
USA/AK-PHL19551/2022	36	2	None	20065:20149	bigDeletion
USA/WA-PHL-021278/2022	37	2	None	14717:14983	bigDeletion
USA/WA-PHL-019444/2022	38	2	None	14717:14983	bigDeletion
USA/WA-PHL-021280/2022	39	2	None	14717:14983	bigDeletion
USA/WA-CDC-LC0568196/2022	40	2	None	14460:14680	bigDeletion
