strain	cluster	depth	ORF6_misStops	ORF6_deletions	ORF6_koType
Vietnam/PIHCM_0178/2021	1	2	27273-27275:TCC>TAA	None	earlyStop
USA/ME-HETL-J9005/2021	2	2	27264-27266:TTT>TAA	None	earlyStop
Sweden/2419281692/2021	3	2	27354-27356:TTA>TAG	None	earlyStop
USA/DC-CDC-LC0371387/2021	4	2	27273-27275:TCC>TAA	None	earlyStop
CaboVerde/ST40230/2021	5	2	27273-27275:TCC>TAA	None	earlyStop
Belgium/Aalst-OLVZ-857031401/2022	6	2	27231-27233:ATA>TAG	None	earlyStop
France/OCC-HCL021204733201/2021	7	2	27222-27224:CAG>TAG	None	earlyStop
USA/NM-CDC-ASC210331718/2021	8	2	27222-27224:CAG>TAG	None	earlyStop
USA/GA-CDC-ASC210471061/2021	9	2	27273-27275:TCC>TAA	None	earlyStop
USA/HI-CDC-MMB13975359/2022	10	2	27291-27293:TAC>TAA	None	earlyStop
USA/WY-WYPHL-21127686/2021	11	2	27330-27332:CTA>TAA	None	earlyStop
USA/WA-S14075/2021	12	3	27285-27287:CTT>TAA	None	earlyStop
USA/WA-S13314/2021	12	3	27285-27287:CTT>TAA	None	earlyStop
USA/WA-S13824/2021	12	3	27285-27287:CTT>TAA	None	earlyStop
USA/WY-WYPHL-21110431/2021	13	2	27273-27275:TCC>TAA	None	earlyStop
USA/CT-CDC-QDX24365667/2021	14	2	None	27265:27300	bigDeletion
USA/NH-CDC-2-4282737/2021	15	2	None	27248:27281	bigDeletion
USA/WA-UW-2021041209214/2021	16	2	None	27221:27394	bigDeletion
USA/WA-PHL-001154/2021	17	2	None	27190:27471	bigDeletion
Mexico/SIN_CIAD-MZT_S6896/2021	18	2	None	27252:27295	bigDeletion
USA/AZ-ASU4871/2021	19	2	None	27221:27281	bigDeletion
Pakistan/NIH-PAK-NC105/2021	20	2	None	27326:27368	bigDeletion
USA/WA-OHSU-15194/2021	21	2	None	26962:27384	bigDeletion
USA/GA-EHC-1597M/2021	22	2	None	27271:27329	bigDeletion
USA/NM-UNM-TC240592/2021	23	2	None	27190:27227	bigDeletion
USA/CO-CDPHE-2101616867/2021	23	2	None	27190:27227	bigDeletion
USA/MA-CDCBI-CRSP_HEAEDSTVANEVSWPT/2021	24	2	None	27202:27471	bigDeletion
USA/AK-PHL13326/2021	25	2	None	27265:27443	bigDeletion
USA/TX-HHD-2110183026/2021	25	2	None	27265:27443	bigDeletion
USA/NE-TESTNE_A1P6CVS/2021	26	2	None	27190:27471	bigDeletion
USA/VA-CDC-MMB14862389/2022	27	2	None	27349:27384	bigDeletion
USA/WA-S15656/2021	28	2	None	27279:27456	bigDeletion
Ghana/NMIMR-NCOV-21-59659/2021	29	2	None	27190:27471	bigDeletion
Malaysia/MKAI-6380998/2021	30	2	None	27034:27727	bigDeletion
Congo/FCRM-55-9674/2021	31	2	None	26835:27808	bigDeletion
Chad/TCH-59/2021	32	2	None	26835:27214	bigDeletion
Nigeria/NIMR-99467/2021	33	2	None	26949:27808	bigDeletion
Ghana/WACCBIP-GS2751/2021	34	2	None	27256:27726	bigDeletion
SaudiArabia/KFSHRC_001R/2021	35	2	None	27367:27498	bigDeletion
Chad/TCH-36/2021	36	2	None	26835:27808	bigDeletion
Indonesia/JK-GS-GSILab-864814/2022	37	2	None	27386:27566	bigDeletion
Russia/PRI-RII-MH64857S/2022	38	2	None	27252:27446	bigDeletion
Norway/7867/2022	39	2	None	27256:27628	bigDeletion
Djibouti/NAMRU3_G638/2021	40	2	None	27256:27473	bigDeletion
Russia/NVS-RII-MH79419S/2022	41	2	None	27304:27383	bigDeletion
Moldova/D0059/2021	42	2	None	27387:27808	bigDeletion
SaintVincentandtheGrenadines/109742/2021	43	2	None	27243:27284	bigDeletion
USA/WA-UW-21092480968/2021	44	2	None	27221:27326	bigDeletion
USA/WA-S15553/2021	44	2	None	27221:27326	bigDeletion
USA/LA-TUSOM_0109-S11/2021	45	2	None	27249:27282	bigDeletion
Lesotho/N22941/2021	46	2	None	27189:27385	bigDeletion
Uganda/UVRI_384635/2021	47	3	None	27221:27281	bigDeletion
Uganda/UVRI_384637/2021	47	3	None	27221:27281	bigDeletion
Italy/FVG-TS-37367966/2021	48	2	None	27221:27281	bigDeletion
USA/TX-DSHS-10411/2021	49	2	None	27149:27368	bigDeletion
Ireland/D-NVRL-S21IRL00310454/2021	50	2	None	26848:27808	bigDeletion
Ireland/D-NVRL-G22IRL05163/2022	51	2	None	26848:27808	bigDeletion
Poland/1259SNR21_wsserze/2021	52	2	None	27256:27859	bigDeletion
Austria/LB-R00074-S301/2022	53	2	None	27288:27384	bigDeletion
CzechRepublic/UMTM458484/2022	54	2	None	27325:27368	bigDeletion
USA/WA-UW-21121713373/2021	55	2	None	27221:27394	bigDeletion
Nigeria/BCVL_GHRU_27486_S53/2022	56	2	None	27248:27444	bigDeletion
USA/WA-PHL-010565/2021	57	2	None	27387:27754	bigDeletion
NorthernMarianaIslands/CDC-2-4954437/2021	58	3	None	27384:28254	bigDeletion
NorthernMarianaIslands/CDC-2-4954534/2021	58	3	None	27384:28254	bigDeletion
NewZealand/21MV1426/2021	59	2	None	26847:27808	bigDeletion
Austria/AGES-677441/2021	60	2	None	27006:27235	bigDeletion
Ukraine/71347/2022	61	2	None	27364:27396	bigDeletion
Congo/RC-393/2021	62	2	None	26835:27808	bigDeletion
Slovenia/390517/2021	63	2	None	27311:27537	bigDeletion
Paraguay/291550/2021	64	2	None	27226:27256	bigDeletion
USA/MS-SRL_328897051/2021	65	2	None	27285:27484	bigDeletion
USA/CO-CDPHE-2101600271/2021	66	2	None	27175:27227	bigDeletion
USA/WA-OHSU-15545/2021	67	2	None	26835:27384	bigDeletion
USA/CO-CDPHE-2102924615/2022	68	2	None	27249:27320	bigDeletion
USA/AK-PHL9851/2021	69	2	None	27227:27446	bigDeletion
USA/NC-IVY-ZZX9LKLO/2021	70	2	None	26956:27616	bigDeletion
Congo/FCRM-78-11427/2021	71	2	None	27188:27223	bigDeletion
Italy/FVG-TS-37366699/2021	72	2	None	27246:27281	bigDeletion
Moldova/D0004/2022	73	2	None	27386:27808	bigDeletion
Denmark/DCGC-170443/2021	74	2	None	27190:27392	bigDeletion
USA/WA-PHL-006131/2021	75	2	None	27222:27338	bigDeletion
USA/WA-Curative-162990/2022	76	2	None	27221:27281	bigDeletion
Canada/NB-CHUDGLD-010322-MM01223R/2022	77	2	None	27192:27227	bigDeletion
USA/IL-RIPHL_100221_G/2021	78	2	None	27249:27368	bigDeletion
USA/NC-CORVASEQ-1085-2610/2022	79	2	None	27285:27482	bigDeletion
USA/CO-CDPHE-2101616975/2021	80	2	None	27175:27227	bigDeletion
USA/TX-DSHS-20231/2022	81	2	None	26835:27808	bigDeletion
USA/WA-OHSU-213492002/2021	82	2	None	27221:27261	bigDeletion
USA/WA-S15041/2021	83	2	None	27229:27390	bigDeletion
USA/WA-S14987/2021	83	2	None	27229:27390	bigDeletion
USA/WA-PHL-004166/2021	84	2	None	27266:27296	bigDeletion
USA/WA-S14291/2021	85	2	None	27237:27384	bigDeletion
USA/WA-UW-21112281377/2021	86	2	None	27237:27318	bigDeletion
USA/WA-CDC-UW21120208493/2021	87	2	None	27221:27389	bigDeletion
USA/WA-CDC-UW21120110783/2021	88	3	None	27221:27394	bigDeletion
USA/KY-UW22010458984/2022	88	3	None	27221:27394	bigDeletion
USA/GA-EHC-4121M/2022	89	2	None	27221:27394	bigDeletion
Argentina/PAIS-F0520/2022	90	2	None	27202:27373	bigDeletion
USA/WA-PHL-004764/2021	91	2	None	27190:27606	bigDeletion
USA/TX-DSHS-19926/2022	92	2	None	26835:27808	bigDeletion
PuertoRico/PR-CVL-000468/2021	93	2	None	27387:27667	bigDeletion
USA/TX-CDC-STM-000720648/2021	94	2	None	27216:27281	bigDeletion
USA/CO-CDPHE-2101701532/2021	95	2	None	27175:27227	bigDeletion
USA/TX-UHS-UTHSA2251-P0/2021	96	2	None	27221:27394	bigDeletion
SriLanka/aicbu3406/2022	97	2	None	27085:27221	bigDeletion
USA/NH-CDC-LC0461102/2022	97	2	None	27085:27221	bigDeletion
