gene	missense	nonsense	synonymous	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	45	0	20	1.4052344985069378	1.4361657820417384	0.0	1.0220114746454525	0.0	0.8431406991041627	1.0531882401639414	0.0	0.6163455673698611	0.0	2.03759002283506	1.8510581190760182	0.0	1.8548475929992077	0.0	95
M	71	0	111	2.7873255535980164	0.7034301035191529	0.0	0.252367400216717	0.0	2.2851047331299053	0.5449106435711748	0.0	0.18531716264313342	0.0	3.3397684561129384	0.8718570297138796	0.0	0.3370082272260209	0.0	95
N	410	0	199	2.829004719177926	1.9868985845770417	0.0	0.7023313079358914	0.0	2.4309538039167102	1.773670443793164	0.0	0.5906734101385381	0.0	3.241271738555614	2.204972819469644	0.0	0.8370953610294802	0.0	95
ORF1a	1859	4	1395	2.4799852303102807	0.9458402173651215	0.0225469331323346	0.38138945579397004	0.009091559440260725	2.3430971566659142	0.897505187429841	0.00563673328308365	0.3556309216042508	0.0021881481627819307	2.6222066055252076	0.9941752473004021	0.0450938662646692	0.4097655473537323	0.01869298955992873	95
ORF1b	1001	2	753	2.167947463924648	0.8372471290976786	0.02107055929797949	0.38619345857302523	0.009719128183962233	2.0067189672715533	0.7837168431214034	0.0	0.35148040598867336	0.0	2.3291759605777425	0.8924502365107124	0.05267639824494873	0.4243233292525586	0.0247246740625796	95
ORF3a	297	0	96	2.2474435329812406	2.444026646638266	0.0	1.0874696564216932	0.0	1.8026370004120367	2.156010038448571	0.0	0.8648134995913703	0.0	2.7156609356856656	2.7402723007762377	0.0	1.3928479610482363	0.0	95
ORF6	36	2	36	5.140830186954858	1.6851802440702723	0.6348722637005434	0.3278031334990428	0.12349605814865602	3.570020963163096	1.1702640583821335	0.0	0.20487695843690173	0.0	6.854440249273145	2.246906992093696	1.5871806592513586	0.5273699570244237	0.35364780288024233	95
ORF7a	107	7	41	2.2263986806687224	2.0570158659363984	1.3148824025531267	0.9239207172538173	0.5905871279793374	1.574769798521779	1.6533024716871987	0.37568068644375047	0.6574762914503133	0.19956652950950138	2.932329969661244	2.479953707530798	2.441924461884378	1.3607862666796147	1.1530510593882302	95
ORF7b	40	3	20	2.5995058339409685	2.7946739104614395	1.738646637457403	1.0750789146045452	0.668837366993532	1.5597035003645812	1.9562717373230076	0.0	0.6551079547740571	0.0	3.7692834592144044	3.7029429313614073	4.056842154067274	1.9020626950695798	1.783566311982752	95
ORF8	171	18	35	2.2126243494884394	3.3633067559981975	3.1787237424174184	1.5200532149868986	1.4366305528330383	1.5172281253635012	2.8125898602791946	1.7659576346763435	1.0889270107362286	0.7449195459134274	2.97123841217019	3.9336921122785937	4.768085613626128	2.276847386084842	2.5231145909970922	95
ORF9b	70	1	13	0.5903916930980483	1.4839160459657856	0.24283396955833358	2.513443300970271	0.41130993609357125	0.31790321936048754	1.1447352354593203	0.0	1.4937034474337612	0.0	0.9082949124585358	1.844295657128905	0.7285019086750008	5.134605600553553	1.604108750764928	95
S	745	1	424	2.55815226110187	1.3307988492538065	0.01925968097494046	0.5202187803632115	0.007528746927145282	2.3168171421299957	1.2146888825403872	0.0	0.4608445325679556	0.0	2.8055207580480417	1.446908815967226	0.057779042924821375	0.5882374686021069	0.024430015539104073	95
S1	496	0	259	3.0105759557270813	1.6650661665738584	0.0	0.5530722994735836	0.0	2.650236748670944	1.4938597663817883	0.0	0.4736340505347159	0.0	3.382539008172126	1.8429865432440489	0.0	0.643872834496096	0.0	95
