gene	missense	nonsense	synonymous	undoStop	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	23979	16	14541	0	1021.6757421394691	765.2848730573077	11.74070649701346	0.7490486868707885	0.011491617166545913	1005.0939750570873	755.327456968485	5.87035324850673	0.7338617215627005	0.005766031926112634	1038.046724047075	775.1784595558174	18.34485390158353	0.7650194559616612	0.017816310899216096	95
M	63792	126	80598	2	2023.8996844044407	632.0170868125888	15.35772530148677	0.3122768839200487	0.007588185036950576	2010.0886118415676	626.9340612546944	12.432444291679767	0.3089531249071596	0.006135035292899031	2038.1376446647116	637.0203572671968	18.404893020035733	0.3155747582075427	0.009109496098150482	95
N	243342	317	152729	15	2171.2113656046504	1179.2582326052354	12.101342829133635	0.5431337783536471	0.005573544345261655	2160.036796963898	1174.4120173441581	10.765232422131499	0.539588979092239	0.004950802451605236	2181.9871725249363	1184.1045690186652	13.475627819192976	0.5466626606866116	0.006216150003476915	95
ORF1a	1328866	880	1006032	27	1788.4906818777868	676.1134514734371	4.960325289113611	0.37803576967119923	0.002773470021049048	1785.1129242164322	674.9767896457853	4.622121292128593	0.3770735760693364	0.002584339435597978	1791.9663500671406	677.26027637712	5.3154394859478815	0.3790095973492581	0.0029726547141029195	95
ORF1b	592141	418	530552	8	1527.5018099337979	495.2730791918367	4.403746893277714	0.3242373108633514	0.002882973273510277	1523.4018556363185	494.0092416860976	3.9928709869671133	0.3230214704712656	0.002611091571512171	1531.5785876348832	496.5754334111572	4.835693358886293	0.32547609934901284	0.00316636049952411	95
ORF3a	196513	1684	76980	20	1802.1687830093322	1617.114506433756	156.776584057944	0.8973157906627562	0.08699328583205859	1789.6199713451	1610.0124283280957	149.4218630718528	0.8899263926829173	0.08282476214170979	1815.0453468554572	1624.1338826276365	164.3175005120375	0.9048846417812364	0.09119881688241868	95
ORF6	27946	1670	19985	26	2853.874757952579	1308.167975021884	530.1183401899538	0.4583831057675381	0.18575389081554167	2814.033324003679	1292.2991943902225	505.35038600233634	0.4502653240616616	0.17690934731248248	2892.7201560527565	1323.9899450912105	555.8306668698258	0.46675814906921964	0.1950154035901464	95
ORF7a	110025	8688	34325	221	1863.9301149744852	2115.1698191556284	1631.956901911652	1.1347903025777242	0.8755461853428939	1844.0540765088322	2101.7501936863114	1597.0185980723832	1.1211253645495378	0.8545726675809924	1883.6418886594302	2128.2044750668574	1666.1485403866136	1.148644118703658	0.8963621093510408	95
ORF7b	22295	1670	8369	43	1087.7632162125983	1557.681370843445	967.8466281846211	1.4320040865759551	0.8897585556850268	1063.7177872486443	1537.210384449315	921.4827178524237	1.3967635348449852	0.8430436379975229	1110.8988181346729	1578.4335712998152	1014.7900873959709	1.4683098736989253	0.9371122157758043	95
ORF8	85267	9313	23949	4530	1514.0040155971037	1677.0706266882942	1644.6363451740788	1.1077055340747421	1.0862826836859183	1495.1018818686168	1665.3870694033126	1611.4319267480766	1.0921171259592257	1.0602668110762743	1533.2222385183748	1688.8721947366441	1678.366135996397	1.1234816476880554	1.1123165538788033	95
ORF9b	63362	1358	20238	51	919.1036219167923	1343.1984072069158	329.76853066021704	1.4614221674000947	0.3587936363176158	906.5226020106011	1332.5354104766188	312.284484852017	1.4387772105347019	0.33904263581690086	931.5472622174743	1353.6918135319597	347.0158133480976	1.4847090107480847	0.3786911390546457	95
S	478556	367	273119	7	1647.830158961985	854.8480189308788	7.068302917803148	0.5187719221435854	0.004289460827841428	1641.7423297514702	852.2702883544819	6.317175359780471	0.5163382447133322	0.003837239434729669	1653.9057705821022	857.4382089998576	7.819430475825826	0.5212730874158309	0.0047407678112628086	95
S1	297532	239	153726	7	1786.8872562552174	998.811424744059	10.007813631898394	0.558967232682195	0.005600696740583278	1777.8903999242027	994.9741354126952	8.709729018555924	0.5555273126326324	0.004871184739144726	1795.6516356784537	1002.7157699154978	11.305898245240863	0.5625422032247384	0.006335336958240412	95
