gene	missense	nonsense	synonymous	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	498	0	372	26.137361672229044	15.893567987928572	0.0	0.608078511796219	0.0	23.53767784999121	14.5212317961998	0.0	0.5349762104936486	0.0	28.807307219392225	17.297818974813826	0.0	0.6957169272075311	0.0	95
M	1054	0	2315	58.13205996918385	10.442469424073058	0.0	0.17963356931800925	0.0	55.796733154007136	9.808391584281146	0.0	0.1669548659051441	0.0	60.49249782538397	11.086454730111718	0.0	0.19282291266992274	0.0	95
N	5357	5	4590	65.25191789460644	25.960526140437103	0.1908729152860195	0.3978507755491266	0.0029251694271165106	63.361176047115656	25.262688588780776	0.0381745830572039	0.38224206294500973	0.0005873339575403854	67.18530805444662	26.66805588031088	0.381745830572039	0.4139792530590847	0.005843972870713725	95
ORF1a	34544	11	30005	53.341904541548374	17.575634464045592	0.06200406611392015	0.32949019378106026	0.0011623894318513648	52.746352532835864	17.392978929869113	0.028183666415418248	0.32428588746279846	0.0005286226595137641	53.932167692870074	17.757781208433283	0.1014611990955057	0.33470932223315814	0.0018959074315865764	95
ORF1b	12938	6	15828	45.57008294687826	10.821481874391376	0.06321167789393847	0.23746899664427082	0.00138713106946997	44.858878136418774	10.634962284192792	0.02107055929797949	0.23213769054199906	0.00045849467866537416	46.27265051644561	11.010510696745097	0.1158880761388872	0.24313624345430362	0.002560891308347611	95
ORF3a	4855	33	2316	54.21957523317243	39.952018078884784	3.072225222038095	0.736855976961647	0.056662657514853734	52.06577518073207	38.84932592181567	2.0481501480253965	0.7018129157059696	0.038370713292421164	56.467018766153664	41.09585546569529	4.189398030051947	0.7736236349568172	0.07759412888795303	95
ORF6	601	21	699	99.81778613004016	28.13314796350649	6.666158768855706	0.2818450403904502	0.0667832760803891	92.39214252666092	25.839430409077508	4.1266697140535324	0.25256224012223166	0.03981342606839215	107.38623057194593	30.42686551793547	9.52308395550815	0.31355137576203257	0.09778379184356921	95
ORF7a	2181	127	1039	56.42020071255615	41.92851965988116	23.855723589178154	0.7431472970735123	0.42282238077662726	52.999149081284706	40.159870504122765	19.7232360382969	0.6896683672843148	0.3479216111706232	59.949857157518764	43.73561771032996	27.98821114005941	0.8005489884295858	0.5035268531242069	95
ORF7b	459	27	192	24.9552560058333	32.06888312254502	15.647819737116627	1.2850552651132454	0.6270350315564363	21.44592313001299	29.06460866879897	9.85233094559195	1.0904353651129202	0.3919806450463836	28.464588881653604	35.07315757629107	22.022857407793772	1.529474519171942	0.91205095499118	95
ORF8	2812	215	649	41.02837722337134	55.30771109863703	37.968089145541384	1.3480355510412834	0.9254104528392924	37.93070313408753	53.16384889744519	32.84681200497999	1.2359068825994164	0.7872426852153284	44.252486989768784	57.49091022095165	43.08936628610278	1.4714373526787827	1.0714048230241406	95
ORF9b	1336	23	535	24.29688890826583	28.32159767728985	5.585181299841673	1.1656470828104584	0.22987228204108004	22.298640100857053	26.81648283066741	3.3996755738166704	1.0558509310470716	0.138883874525102	26.340552461297538	29.86964009524201	8.013520995425008	1.2913116301967194	0.33297897945120386	95
S	12961	33	8663	52.26715339133373	23.15232736265582	0.6355694721730352	0.4429613219857243	0.012160016969250466	51.157011844063106	22.75576716864999	0.4237129814486901	0.43098198426278245	0.00812156085501652	53.36522818265576	23.550718521521365	0.8666856438723206	0.45543794523610587	0.01648101094193804	95
S1	8298	31	4963	57.68914466514866	27.856288407721525	1.2980846133424695	0.4828688060710692	0.022501366953472483	56.09667784686832	27.24195955997351	0.8374739440919158	0.4658913857692284	0.014742470270608049	59.26998763804011	28.467260267230483	1.758695282593023	0.5001217528132386	0.030796463856269087	95
