gene	missense	nonsense	synonymous	undoStop	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	66	2	35	0	2.4591603723871414	2.106376480327883	1.4675883121266824	0.8565429501790458	0.5967843043526575	1.6862813982083253	1.5957397578241537	0.0	0.5731916207006241	0.0	3.302301071491304	2.6489279979880953	4.402764936380047	1.3437558277745763	2.1607707571389323	95
M	205	3	195	0	4.896652999564083	2.0310305805834696	0.36566012622587546	0.41477935658587184	0.07467552351747772	4.2186548919321325	1.7536215256745078	0.0	0.34107805246115314	0.0	5.599762148219438	2.3084396354924315	1.0969803786776264	0.5079215670218918	0.2413545925841131	95
N	788	6	325	0	4.620233837853397	3.8187221576749	0.22904749834322338	0.8265214038277148	0.0495748713986392	4.108454089660405	3.547340887586328	0.0381745830572039	0.7276040094899332	0.007694285197974089	5.14622969016286	4.09979561598092	0.5344441628008546	0.9431271132907653	0.11297401923368428	95
ORF1a	3350	4	2223	0	3.9519764637847703	1.70444579245463	0.0225469331323346	0.43128945935631874	0.005705229608260778	3.7848663479072315	1.6428822280107462	0.00563673328308365	0.4087590513183605	0.0013937060900179902	4.117308812472122	1.7665181466873061	0.0450938662646692	0.45566479442333174	0.011694537039339519	95
ORF1b	1856	5	1052	0	3.028792472840278	1.5523782933119796	0.05267639824494873	0.5125403299276634	0.017391880994590214	2.8474104141055467	1.4796105608129806	0.010535279648989745	0.4753851727816533	0.003484918780111549	3.2130536118723865	1.6243096150925993	0.10535279648989745	0.5529790101058288	0.0342955724330907	95
ORF3a	534	3	125	0	2.926358766902657	4.394310536379913	0.2792932020034632	1.5016308273885977	0.09544051985774636	2.411319623927789	4.015774422759171	0.0	1.2481966302081446	0.0	3.4648087800127456	4.7728466500006546	0.6516841380080808	1.8367958539423666	0.2226945463347415	95
ORF6	60	2	66	0	9.424855342750574	2.8086337401171204	0.6348722637005434	0.29800284863549337	0.06736148626290328	7.282842764852716	2.1064753050878404	0.0	0.2104415178018546	0.0	11.709668759174955	3.5107921751464004	1.5871806592513586	0.42297659165761375	0.18524408722298408	95
ORF7a	148	7	75	0	4.072680513418394	2.8452182070895975	1.3148824025531267	0.6986107055820764	0.3228542966287045	3.149539597043558	2.383831470804798	0.37568068644375047	0.5310385430944838	0.10170293711164091	5.050123836638809	3.3066049433743974	2.441924461884378	0.9364550652418853	0.6208736473628932	95
ORF7b	80	4	24	0	3.1194070007291623	5.589347820922879	2.3181955166098707	1.7917981910075753	0.7431526299928133	1.9496293754557263	4.401611408976767	0.5795488791524677	1.1746101606094177	0.15375571655023723	4.4191599176996466	6.846951080630527	4.636391033219741	2.9723296991475947	1.783566311982752	95
ORF8	206	34	50	4	3.1608919278406273	4.051702875646951	6.004255957899568	1.2818226526380747	1.8995448420792398	2.3390600266020645	3.4813175193665553	4.06170255975559	0.9597212947024435	1.1732032291959518	4.045941667636003	4.622088231927347	8.300000882978814	1.7848578070714123	2.9444455024280742	95
ORF9b	208	5	53	0	2.4069815180151197	4.409350536584049	1.214169847791668	1.831900454399896	0.5044367140770215	1.7711750792941447	3.8157841181977346	0.24283396955833358	1.3638651414687353	0.10282748402339281	3.1336174479819485	5.045314556283671	2.428339695583336	2.584380202495913	1.0694058338432852	95
S	1175	8	573	0	3.4571255792721027	2.098910936742581	0.15407744779952368	0.607126032484046	0.0445680795407972	3.1675234365058533	1.9720831269479229	0.01925968097494046	0.5504540088831381	0.005302639031743521	3.7467277220383526	2.229311360897652	0.3851936194988092	0.6716429502668708	0.11149310510632295	95
S1	781	2	281	0	3.2663005542830494	2.621807814706015	0.08374739440919157	0.8026841899984002	0.025639831061895057	2.882713656449097	2.4271024968405235	0.0	0.7020360321760301	0.0	3.6615112975059096	2.826584097288687	0.25124218322757474	0.926076526816516	0.08281370722290243	95
