strain	cluster	depth	ORF8_misStops	ORF8_deletions	ORF8_koType
USA/WA-CDC-LC0059888/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-Altius-ALTCOV-WGQCJFEZ72MXMMW6/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21050409722/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Moldova/ICGEB_816078_S14/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/PA-CDC-STM-A100226/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-2021040633666/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Moldova/ICGEB_807867_S7/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/PR-IPEC-196/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/UT-UPHL-2101178518/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Senegal/177549/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/PR-IPEC_VIGCV19_LON_0904/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/PR-IPEC_VIGCV19_LON_0907/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
PuertoRico/PR-CDC-S412/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SriLanka/QCF6/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Indonesia/JB-NIHRD-C002130911/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovenia/17-072100-CE/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Indonesia/JB-NIHRD-WGS01437/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Jordan/MoH-532/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
India/AP-CCMB-CIB7539/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
India/AP-CCMB-CIB7540/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-66699/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/NM-CDC-LC0056169/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Germany/NW-RKI-I-330585/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
env/Austria/CeMM4509/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovakia/CeMM4275/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Tunisia/Q8734/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gabon/Y0273/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
India/TG-RFCH00684_CIB2987/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-CDC-STM-161/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/NC-ECU-CORVASEQ-106530675/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-CDC-STM-100/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-CDC-STM-049/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-CDC-STM-115/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-CDC-STM-000003053/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/UT-UPHL-2104344193/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21051103442/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/PA-CDC-STM-000007825/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-58812/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-CDC-STM-135/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/GA-CDC-STM-000008061/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Austria/CeMM2634/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WI-UW-4126/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Latvia/2104046880/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Estonia/Cov7278/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Luxembourg/LNS3142953/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Thailand/A21931/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Thailand/A21930/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Uganda/UG428/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kenya/ILRI_COVM01303/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kenya/MKU-30/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Italy/LAZ-FPG-157/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Egypt/ARMY-ECRRM0032/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Egypt/ARMY-ECRRM0020/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Lithuania/LTU000_41566/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Lithuania/LTU000_KNS_ANT_05_31_81/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Lithuania/LTU000_RSL_cov078375/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Sweden/20503091S/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
