strain	cluster	depth	ORF1b_misStops	ORF1b_deletions	ORF1b_koType
Egypt/ARMY-ECRRM00102/2021	1	2	19380-19382:TCT>TGA	None	earlyStop
USA/WA-UW-2021040300774/2021	2	2	14547-14549:GAA>TAA	None	earlyStop
Guangdong/IVDC-05-03/2021	3	2	19527-19529:GCT>TAG	None	earlyStop
Egypt/ARMY-ECRRM0098/2021	4	3	20532-20534:ATA>TAA	None	earlyStop
Egypt/ARMY-ECRRM0099/2021	5	3	15264-15266:GTA>TAG	None	earlyStop
Switzerland/AG-ETHZ-550971/2021	6	2	19296-19298:TAT>TAG	None	earlyStop
USA/ID-IBL-746177/2021	7	2	20010-20012:GTA>TAG	None	earlyStop
USA/PA-0203/2021	8	2	20259-20261:TTA>TAG	None	earlyStop
USA/WA-CDC-UW21050366056/2021	9	2	21165-21167:AAG>TAG	None	earlyStop
USA/WA-UW-2021040773983/2021	10	2	21165-21167:AAG>TAG	None	earlyStop
Vietnam/HN_218/2021	11	2	14604-14606:CTA>TAG	None	earlyStop
India/MH-NCCS-VOC-392/2021	12	2	19545-19547:TCA>TAG	None	earlyStop
France/NAQ-LIM-CHU-PUCE-6-30/2020	13	3	16890-16892:TTA>TAA	None	earlyStop
Gabon/Y0046/2021	14	2	14178-14180:TTG>TAG	None	earlyStop
USA/ID-IBL-729402/2021	15	2	21138-21140:CTA>TAG	None	earlyStop
USA/ID-IBL-746471/2021	16	2	15969-15971:GTA>TAG	None	earlyStop
USA/WA-CDC-UW21061195060/2021	17	2	20073-20075:CAA>TAA	None	earlyStop
USA/ID-IBL-728541/2021	18	2	21138-21140:CTA>TAG	None	earlyStop
USA/ID-IBL-751533/2021	19	2	21138-21140:CTA>TAG	None	earlyStop
NorthMacedonia/ZMC-2345/2021	20	2	20010-20012:GTA>TAG	None	earlyStop
Cambodia/17-2104290694/2021	21	2	19296-19298:TAT>TAG	None	earlyStop
USA/WA-UW-21043082869/2021	22	2	21165-21167:AAG>TAG	None	earlyStop
USA/WA-UW-21043082257/2021	22	2	21165-21167:AAG>TAG	None	earlyStop
USA/WA-UW-21050526132/2021	23	2	21165-21167:AAG>TAG	None	earlyStop
USA/WA-UW-21050354697/2021	24	2	21165-21167:AAG>TAG	None	earlyStop
USA/WA-UW-21050472141/2021	25	2	21165-21167:AAG>TAG	None	earlyStop
USA/WA-UW-21050409722/2021	26	2	None	19285:19559	bigDeletion
Moldova/ICGEB_816078_S14/2021	27	2	None	20575:20611	bigDeletion
Moldova/ICGEB_807867_S7/2021	27	2	None	20575:20611	bigDeletion
