strain	cluster	depth	ORF7b_misStops	ORF7b_deletions	ORF7b_koType
Rwanda/NRLNAT4243/2021	1	4	27764-27766:CTT>TAA	None	earlyStop
Rwanda/NRLNAT4214/2021	1	4	27764-27766:CTT>TAA	None	earlyStop
Rwanda/NRLNAT4177/2021	1	4	27764-27766:CTT>TAA	None	earlyStop
Rwanda/NRLNAT4248/2021	1	4	27764-27766:CTT>TAA	None	earlyStop
USA/WV-CDC-LC0067834/2021	2	2	27761-27763:GAA>TAA	None	earlyStop
USA/FL-CDC-STM-000069967/2021	3	2	27848-27850:CTT>TGA	None	earlyStop
USA/NY-PRL-2021_0905_01B06/2021	4	2	27764-27766:CTT>TAA	None	earlyStop
USA/NY-PRL-2021_0911_03F23/2021	4	2	27764-27766:CTT>TAA	None	earlyStop
Belgium/UZA-UA-CV2149224148/2021	5	2	27794-27796:TTA>TAG	None	earlyStop
CzechRepublic/NRL_9203/2021	6	2	27761-27763:GAA>TAA	None	earlyStop
USA/KY-GD_00098/2021	7	3	27839-27841:TGG>TGA	None	earlyStop
USA/KY-GD_00099/2021	7	3	27839-27841:TGG>TGA	None	earlyStop
USA/OR-CDC-LC0060087/2021	8	2	27761-27763:GAA>TAA	None	earlyStop
USA/NC-CDC-LC0057007/2021	9	2	27794-27796:TTA>TAG	None	earlyStop
USA/NC-CDC-LC0056652/2021	9	2	27794-27796:TTA>TAG	None	earlyStop
USA/WA-PHL-001083/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-PHL-001081/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-CDC-LC0073616/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021032901078/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-67967/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021032904150/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-PHL-001084/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-PHL-001082/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021040206753/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-CDC-QDX23430265/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-68874/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021041291658/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021040107464/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021040707503/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-68870/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021041368603/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021041304580/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-21050392389/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-CDC-UW21051054633/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-21051059482/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-CDC-UW21050456370/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
USA/WA-UW-2021033104620/2021	10	10	27761-27763:GAA>TAA	None	earlyStop
